,run,lumi,evtid
4869,1,44,43906
4873,1,57,56405
4874,1,57,56597
4880,1,58,57116
4881,1,58,57215
4887,1,58,57816
4895,1,59,58362
4897,1,59,58525
4898,1,59,58650
4901,1,59,58812
4906,1,60,59140
4910,1,60,59501
4913,1,60,59794
4914,1,60,59848
4916,1,60,59894
4917,1,60,59930
4921,1,77,76608
4924,1,77,76873
4929,1,78,77204
4933,1,78,77516
4936,1,78,77607
4938,1,78,77666
4940,1,78,77775
4941,1,78,77817
4947,1,79,78011
4948,1,79,78125
4950,1,79,78204
4954,1,79,78337
4960,1,79,78912
4963,1,80,79211
4967,1,80,79497
4970,1,80,79763
4976,1,61,60196
4978,1,61,60840
4983,1,62,61092
4985,1,62,61252
4986,1,62,61274
4994,1,63,62216
4995,1,63,62287
4998,1,63,62588
5000,1,63,62904
5014,1,64,63781
5015,1,64,63836
5020,1,69,68122
5023,1,69,68291
5026,1,69,68882
5027,1,69,68926
5028,1,69,68974
5030,1,70,69087
5033,1,70,69250
5035,1,70,69403
5036,1,70,69398
5038,1,70,69459
5039,1,70,69749
5040,1,70,69755
5041,1,70,69766
5042,1,70,69772
5048,1,71,70262
5049,1,71,70283
5051,1,71,70479
5053,1,71,70845
5055,1,72,71027
5057,1,72,71293
5058,1,72,71781
5060,1,72,71887
5062,1,72,71934
5065,1,85,84093
5069,1,85,84546
5071,1,85,84815
5072,1,85,84851
5075,1,86,85064
5076,1,86,85284
5077,1,86,85311
5083,1,86,85826
5092,1,87,86406
5100,1,88,87411
5103,1,88,87619
5105,1,88,87629
5109,1,88,87803
5111,1,88,87844
5113,1,197,196003
5118,1,197,196528
5120,1,197,196603
5126,1,197,196920
5127,1,198,197017
5129,1,198,197105
5130,1,198,197124
5133,1,198,197379
5135,1,198,197489
5136,1,198,197500
5138,1,198,197632
5139,1,198,197683
5141,1,198,197901
5143,1,198,197963
5144,1,199,198021
5148,1,199,198308
5149,1,199,198326
5150,1,199,198470
5153,1,199,198625
5162,1,200,199921
5169,1,201,200403
5176,1,202,201045
5177,1,202,201075
5181,1,202,201736
5182,1,202,201767
5184,1,202,201811
5189,1,203,202256
5190,1,203,202720
5193,1,204,203218
5203,1,213,212385
5204,1,213,212410
5206,1,213,212484
5210,1,213,212762
5213,1,213,212913
5216,1,214,213020
5229,1,214,213927
5230,1,214,213978
5233,1,215,214118
5236,1,215,214294
5239,1,215,214339
5242,1,215,214700
5249,1,216,215429
5250,1,216,215520
5257,1,221,220214
5258,1,221,220254
5261,1,221,220314
5262,1,221,220369
5263,1,221,220401
5272,1,222,221405
5277,1,222,221827
5280,1,223,222120
5284,1,223,222271
5289,1,223,222976
5290,1,224,223295
5292,1,224,223325
5293,1,224,223352
5296,1,224,223674
5300,1,224,223994
5304,1,241,240239
5310,1,241,240769
5312,1,241,240905
5314,1,242,241129
5318,1,242,241421
5322,1,242,241737
5326,1,242,241963
5327,1,243,242113
5328,1,243,242233
5330,1,243,242400
5331,1,243,242501
5332,1,243,242533
5335,1,243,242848
5338,1,244,243422
5339,1,244,243433
5341,1,244,243462
5347,1,385,384019
5349,1,385,384444
5356,1,385,384826
5357,1,385,384861
5359,1,386,385192
5363,1,386,385577
5367,1,386,385709
5376,1,387,386463
5378,1,387,386648
5379,1,387,386678
5380,1,387,386696
5385,1,387,386891
5391,1,388,387782
5393,1,388,387842
5394,1,388,387990
5398,1,393,392367
5400,1,393,392503
5402,1,393,392743
5408,1,394,393004
5417,1,394,393715
5425,1,394,393984
5426,1,395,394028
5430,1,395,394561
5432,1,395,394602
5434,1,395,394653
5443,1,448,447437
5445,1,448,447554
5447,1,448,447962
5451,1,1,33
5452,1,1,47
5463,1,2,1019
5465,1,2,1362
5468,1,2,1410
5471,1,2,1582
5473,1,2,1691
5474,1,2,1809
5478,1,2,1914
5479,1,3,2023
5482,1,3,2310
5483,1,3,2398
5485,1,3,2497
5486,1,3,2516
5492,1,4,3035
5493,1,4,3170
5496,1,4,3448
5497,1,4,3490
5498,1,4,3521
5500,1,4,3634
5508,1,5,4111
5511,1,5,4250
5515,1,5,4685
5517,1,5,4882
5519,1,5,4949
5520,1,6,5009
5523,1,6,5393
5533,1,7,6208
5534,1,7,6201
5536,1,7,6376
5537,1,7,6428
5539,1,7,6532
5541,1,7,6611
5542,1,7,6652
5543,1,7,6672
5547,1,7,6778
5553,1,8,7399
5555,1,8,7630
5559,1,9,8154
5560,1,9,8345
5563,1,9,8488
5565,1,9,8778
5585,1,10,9894
5587,1,11,10042
5589,1,11,10302
5590,1,11,10592
5591,1,11,10627
5593,1,11,10770
5596,1,12,11168
5607,1,13,12257
5610,1,13,12353
5613,1,13,12867
5618,1,14,13799
5626,1,15,14965
5630,1,16,15458
5633,1,16,15593
5639,1,497,496299
5640,1,497,496300
5650,1,498,497352
5656,1,498,497680
5662,1,499,498125
5665,1,499,498823
5671,1,500,499214
5674,1,500,499606
5675,1,500,499623
5678,1,500,499864
5686,1,209,208322
5691,1,209,208684
5692,1,209,208870
5693,1,209,208924
5696,1,210,209098
5701,1,210,209445
5704,1,210,209788
5706,1,211,210081
5707,1,211,210180
5710,1,211,210375
5722,1,212,211332
5723,1,212,211478
5724,1,212,211569
5728,1,217,216049
5729,1,217,216245
5731,1,217,216412
5732,1,217,216579
5735,1,217,216852
5747,1,219,218001
5749,1,219,218387
5752,1,219,218555
5754,1,219,218633
5756,1,219,218713
5765,1,220,219582
5766,1,220,219732
5772,1,313,312525
5775,1,314,313223
5777,1,314,313346
5778,1,314,313529
5779,1,314,313650
5791,1,315,314460
5795,1,315,314954
5797,1,316,315013
5801,1,316,315477
5806,1,316,315851
5811,1,357,356439
5816,1,357,356971
5818,1,358,357165
5820,1,358,357670
5821,1,358,357682
5824,1,359,358023
5826,1,359,358158
5832,1,359,358774
5835,1,360,359130
5836,1,360,359293
5837,1,360,359398
5839,1,360,359621
5840,1,360,359662
5846,1,457,456403
5848,1,457,456488
5852,1,458,457027
5855,1,458,457204
5858,1,458,457493
5859,1,458,457522
5862,1,458,457822
5864,1,459,458058
5865,1,459,458153
5869,1,459,458446
5875,1,459,458765
5877,1,459,458858
5880,1,460,459190
5881,1,460,459291
5883,1,460,459393
5885,1,460,459613
5887,1,460,459952
5893,1,489,488390
5899,1,490,489157
5901,1,490,489192
5905,1,490,489481
5917,1,491,490326
5920,1,491,490542
5921,1,491,490523
5922,1,491,490634
5923,1,491,490726
5924,1,491,490775
5926,1,491,490911
5930,1,492,491085
5933,1,492,491250
5934,1,492,491321
5937,1,492,491368
5939,1,492,491416
5944,1,492,491779
5945,1,492,491849
5946,1,492,491984
