,run,lumi,evtid
1308,1,478,477395
1313,1,478,477618
1317,1,478,477907
1318,1,478,477938
1319,1,478,477949
1321,1,479,478002
1323,1,479,478130
1325,1,479,478168
1326,1,479,478522
1327,1,479,478565
1328,1,479,478642
1330,1,479,478788
1331,1,479,478848
1334,1,480,479077
1337,1,480,479211
1340,1,480,479324
1342,1,480,479670
1344,1,480,479892
1353,1,409,408489
1354,1,409,408490
1359,1,409,408861
1360,1,410,409039
1361,1,410,409107
1367,1,410,409396
1373,1,411,410439
1375,1,411,410542
1376,1,411,410718
1377,1,411,410975
1378,1,411,411000
1381,1,412,411110
1385,1,412,411295
1387,1,412,411755
1388,1,412,411848
1389,1,412,411903
1392,1,159,158243
1395,1,159,158346
1408,1,190,189075
1410,1,190,189140
1413,1,190,189284
1416,1,190,189350
1418,1,190,189483
1423,1,191,190345
1426,1,191,190679
1434,1,349,348242
1435,1,349,348374
1436,1,349,348410
1437,1,349,348506
1449,1,441,440313
1455,1,441,440600
1467,1,444,443047
1469,1,444,443121
1470,1,444,443147
1472,1,444,443366
1473,1,444,443415
1474,1,444,443455
1475,1,444,443479
1476,1,444,443476
1479,1,493,492081
1480,1,493,492122
1483,1,493,492575
1485,1,493,492686
1486,1,493,492690
1496,1,494,493837
1497,1,494,493907
1502,1,495,494062
1504,1,495,494403
1508,1,495,494613
1511,1,495,494744
1515,1,495,494827
1520,1,495,494965
1525,1,496,495269
1533,1,496,495773
1536,1,17,16006
1537,1,17,16022
1542,1,17,16368
1547,1,17,16507
1557,1,18,17175
1563,1,19,18100
1566,1,19,18218
1568,1,19,18262
1571,1,19,18424
1574,1,19,18776
1576,1,20,19029
1583,1,20,19317
1584,1,20,19375
1585,1,20,19388
1587,1,20,19540
1595,1,305,304100
1598,1,305,304304
1599,1,305,304387
1602,1,305,304665
1603,1,305,304716
1604,1,305,304699
1606,1,305,304832
1609,1,305,304931
1610,1,305,304968
1611,1,306,305006
1614,1,306,305146
1621,1,306,305697
1622,1,306,305795
1625,1,307,306410
1627,1,308,307087
1633,1,308,307591
1647,1,261,260294
1648,1,261,260406
1649,1,261,260472
1655,1,262,261021
1656,1,262,261064
1657,1,262,261085
1658,1,262,261222
1661,1,262,261518
1669,1,263,262114
1675,1,263,262375
1679,1,263,262637
1681,1,263,262734
1683,1,263,262939
1684,1,263,262991
1687,1,264,263166
1689,1,264,263372
1690,1,264,263464
1693,1,264,263802
1695,1,264,263992
1699,1,397,396313
1702,1,397,396449
1704,1,397,396988
1711,1,398,397426
1712,1,398,397447
1713,1,398,397466
1715,1,398,397712
1721,1,399,398486
1722,1,399,398541
1723,1,399,398663
1725,1,399,398711
1726,1,399,398744
1730,1,400,399337
1733,1,400,399555
1737,1,400,399818
1740,1,301,300086
1744,1,301,300379
1745,1,301,300526
1749,1,301,300777
1751,1,301,300874
1752,1,302,301217
1760,1,302,301637
1761,1,302,301692
1764,1,302,301774
1766,1,302,301869
1769,1,303,302168
1771,1,303,302280
1772,1,303,302421
1779,1,304,303174
1781,1,304,303276
1782,1,304,303280
1783,1,304,303304
1785,1,304,303394
1789,1,304,303626
1791,1,304,303825
1792,1,304,303877
1794,1,304,303959
1795,1,73,72113
1796,1,73,72182
1800,1,73,72628
1801,1,73,72657
1805,1,74,73009
1809,1,74,73240
1813,1,74,73603
1814,1,74,73668
1826,1,75,74659
1828,1,75,74766
1829,1,75,74822
1830,1,76,75078
1832,1,76,75154
1837,1,76,75537
1838,1,76,75588
1839,1,76,75619
1842,1,81,80036
1848,1,81,80706
1855,1,81,80921
1856,1,81,80958
1858,1,82,81245
1859,1,82,81242
1860,1,82,81353
1863,1,82,81390
1869,1,83,82083
1871,1,83,82150
1872,1,83,82144
1877,1,83,82523
1880,1,84,83171
1882,1,84,83317
1885,1,84,83555
1890,1,84,83622
1891,1,84,83625
1895,1,84,83975
1905,1,109,108693
1917,1,110,109722
1918,1,111,110076
1927,1,111,110649
1929,1,111,110970
1930,1,111,110988
1932,1,112,111126
1934,1,112,111453
1935,1,112,111457
1937,1,112,111724
1943,1,113,112228
1944,1,113,112319
1948,1,113,112576
1950,1,113,112639
1951,1,113,112649
1952,1,113,112839
1970,1,193,192347
1971,1,193,192390
1974,1,193,192759
1985,1,194,193463
1989,1,194,193622
1990,1,194,193620
1993,1,194,193878
1994,1,194,193936
1997,1,195,194117
2004,1,195,194883
2008,1,196,195180
2009,1,196,195215
2013,1,196,195560
2019,1,469,468207
2020,1,469,468252
2021,1,469,468304
2022,1,469,468362
2023,1,469,468404
2028,1,470,469108
2029,1,470,469462
2043,1,471,470845
2044,1,471,470867
2046,1,471,470919
2053,1,472,471270
2055,1,472,471492
2057,1,472,471701
2058,1,472,471817
2060,1,117,116013
2067,1,117,116418
2068,1,117,116477
2071,1,117,116564
2072,1,117,116730
2073,1,117,116780
2079,1,118,117625
2082,1,119,118056
2083,1,119,118183
2087,1,119,118512
2088,1,119,118527
2093,1,120,119140
2099,1,120,119568
2101,1,120,119836
2102,1,120,119955
2103,1,129,128058
2104,1,129,128158
2113,1,130,129148
2126,1,132,131059
2127,1,132,131058
2134,1,132,131560
2141,1,145,144367
2145,1,145,144843
2148,1,145,144996
2149,1,145,144999
2154,1,146,145048
2156,1,146,145149
2160,1,146,145388
2161,1,146,145410
2162,1,146,145427
2166,1,146,145650
2169,1,146,145843
2171,1,146,145968
2172,1,147,146032
2173,1,147,146078
2174,1,147,146094
2176,1,147,146191
2178,1,147,146580
2180,1,147,146720
2183,1,147,146806
2193,1,148,147572
2194,1,148,147879
